IssueId,Date,ClAdjLoc
00656501_synthetic_0,2017-01-25,11.69
00656501_synthetic_0,2017-01-26,11.736042
00656501_synthetic_0,2017-01-27,12.089865
00656501_synthetic_0,2017-01-30,12.53718
00656501_synthetic_0,2017-01-31,12.354018
00656501_synthetic_0,2017-02-01,12.2923765
00656501_synthetic_0,2017-02-02,12.213675
00656501_synthetic_0,2017-02-03,12.332583
00656501_synthetic_0,2017-02-06,12.36801
00656501_synthetic_0,2017-02-07,12.419125
00656501_synthetic_0,2017-02-08,12.3864765
00656501_synthetic_0,2017-02-09,12.529957
00656501_synthetic_0,2017-02-10,11.835789
00656501_synthetic_0,2017-02-13,11.402052
00656501_synthetic_0,2017-02-14,11.550647
00656501_synthetic_0,2017-02-15,11.649575
00656501_synthetic_0,2017-02-16,11.377014
00656501_synthetic_0,2017-02-17,11.3183
00656501_synthetic_0,2017-02-20,10.881456
00656501_synthetic_0,2017-02-21,11.137484
00656501_synthetic_0,2017-02-22,11.041721
00656501_synthetic_0,2017-02-23,11.346085
00656501_synthetic_0,2017-02-24,11.6199875
00656501_synthetic_0,2017-02-27,11.468846
00656501_synthetic_0,2017-02-28,11.64189
00656501_synthetic_0,2017-03-01,11.673433
00656501_synthetic_0,2017-03-02,11.340362
00656501_synthetic_0,2017-03-03,11.409809
00656501_synthetic_0,2017-03-06,11.160465
00656501_synthetic_0,2017-03-07,10.935277
00656501_synthetic_0,2017-03-08,10.756523
00656501_synthetic_0,2017-03-09,10.86722
00656501_synthetic_0,2017-03-10,10.988922
00656501_synthetic_0,2017-03-13,11.415507
00656501_synthetic_0,2017-03-14,11.259102
00656501_synthetic_0,2017-03-15,11.27887
00656501_synthetic_0,2017-03-16,11.295472
00656501_synthetic_0,2017-03-17,11.093392
00656501_synthetic_0,2017-03-20,11.164473
00656501_synthetic_0,2017-03-21,11.000768
00656501_synthetic_0,2017-03-22,11.409531
00656501_synthetic_0,2017-03-23,11.467848
00656501_synthetic_0,2017-03-24,11.470465
00656501_synthetic_0,2017-03-27,11.588685
00656501_synthetic_0,2017-03-28,11.349286
00656501_synthetic_0,2017-03-29,11.378584
00656501_synthetic_0,2017-03-30,11.851146
00656501_synthetic_0,2017-03-31,12.146193
00656501_synthetic_0,2017-04-03,12.321848
