IssueId,Date,ClAdjLoc
17988901_synthetic_0,2017-05-02,20.5
17988901_synthetic_0,2017-05-03,20.14339
17988901_synthetic_0,2017-05-04,20.139208
17988901_synthetic_0,2017-05-05,20.262135
17988901_synthetic_0,2017-05-08,20.45154
17988901_synthetic_0,2017-05-09,20.587431
17988901_synthetic_0,2017-05-10,20.455755
17988901_synthetic_0,2017-05-11,20.217274
17988901_synthetic_0,2017-05-12,20.092316
17988901_synthetic_0,2017-05-15,19.951662
17988901_synthetic_0,2017-05-16,20.080154
17988901_synthetic_0,2017-05-17,20.127464
17988901_synthetic_0,2017-05-18,20.27408
17988901_synthetic_0,2017-05-19,20.259035
17988901_synthetic_0,2017-05-22,20.497675
17988901_synthetic_0,2017-05-23,20.595013
17988901_synthetic_0,2017-05-24,20.523598
17988901_synthetic_0,2017-05-25,20.498676
17988901_synthetic_0,2017-05-26,20.437721
17988901_synthetic_0,2017-05-29,20.37381
17988901_synthetic_0,2017-05-30,20.161915
17988901_synthetic_0,2017-05-31,20.348019
17988901_synthetic_0,2017-06-01,20.348822
17988901_synthetic_0,2017-06-02,20.64023
17988901_synthetic_0,2017-06-05,20.537462
17988901_synthetic_0,2017-06-06,20.863895
17988901_synthetic_0,2017-06-07,20.878635
17988901_synthetic_0,2017-06-08,20.757881
17988901_synthetic_0,2017-06-09,20.940847
17988901_synthetic_0,2017-06-12,20.877062
17988901_synthetic_0,2017-06-13,20.516872
17988901_synthetic_0,2017-06-14,20.855309
17988901_synthetic_0,2017-06-15,20.945013
17988901_synthetic_0,2017-06-16,20.981941
17988901_synthetic_0,2017-06-19,21.365278
17988901_synthetic_0,2017-06-20,21.543682
17988901_synthetic_0,2017-06-21,21.550852
17988901_synthetic_0,2017-06-22,20.968323
17988901_synthetic_0,2017-06-23,20.93098
17988901_synthetic_0,2017-06-26,20.73139
17988901_synthetic_0,2017-06-27,20.841208
17988901_synthetic_0,2017-06-28,20.652472
17988901_synthetic_0,2017-06-29,20.79466
17988901_synthetic_0,2017-06-30,20.622292
17988901_synthetic_0,2017-07-03,20.74828
17988901_synthetic_0,2017-07-04,20.774128
17988901_synthetic_0,2017-07-05,20.64941
17988901_synthetic_0,2017-07-06,20.753822
17988901_synthetic_0,2017-07-07,20.949492
17988901_synthetic_0,2017-07-10,21.17252
17988901_synthetic_0,2017-07-11,21.287712
17988901_synthetic_0,2017-07-12,20.712095
17988901_synthetic_0,2017-07-13,20.487438
17988901_synthetic_0,2017-07-14,20.40488
17988901_synthetic_0,2017-07-17,20.037895
17988901_synthetic_0,2017-07-18,20.168728
17988901_synthetic_0,2017-07-19,20.129889
17988901_synthetic_0,2017-07-20,20.116692
17988901_synthetic_0,2017-07-21,20.012653
17988901_synthetic_0,2017-07-24,19.928648
17988901_synthetic_0,2017-07-25,20.20171
17988901_synthetic_0,2017-07-26,20.113014
17988901_synthetic_0,2017-07-27,19.949257
17988901_synthetic_0,2017-07-28,19.997118
17988901_synthetic_0,2017-07-31,20.328737
17988901_synthetic_0,2017-08-01,19.933746
17988901_synthetic_0,2017-08-02,19.985113
17988901_synthetic_0,2017-08-03,19.940855
17988901_synthetic_0,2017-08-04,19.949142
17988901_synthetic_0,2017-08-07,19.651556
17988901_synthetic_0,2017-08-08,19.716434
17988901_synthetic_0,2017-08-09,19.677248
17988901_synthetic_0,2017-08-10,19.517328
17988901_synthetic_0,2017-08-11,19.660702
17988901_synthetic_0,2017-08-14,19.796896
17988901_synthetic_0,2017-08-15,20.057966
17988901_synthetic_0,2017-08-16,19.654823
17988901_synthetic_0,2017-08-17,19.657684
17988901_synthetic_0,2017-08-18,19.813221
17988901_synthetic_0,2017-08-21,19.937424
17988901_synthetic_0,2017-08-22,19.75242
17988901_synthetic_0,2017-08-23,19.818573
17988901_synthetic_0,2017-08-24,20.058496
17988901_synthetic_0,2017-08-25,20.292294
17988901_synthetic_0,2017-08-28,20.129538
17988901_synthetic_0,2017-08-29,20.134293
17988901_synthetic_0,2017-08-30,20.034838
17988901_synthetic_0,2017-08-31,20.23317
17988901_synthetic_0,2017-09-01,20.349674
17988901_synthetic_0,2017-09-04,20.353922
17988901_synthetic_0,2017-09-05,20.394018
17988901_synthetic_0,2017-09-06,20.432085
17988901_synthetic_0,2017-09-07,20.639196
17988901_synthetic_0,2017-09-08,20.739565
17988901_synthetic_0,2017-09-11,20.973759
17988901_synthetic_0,2017-09-12,20.859756
17988901_synthetic_0,2017-09-13,20.700089
17988901_synthetic_0,2017-09-14,20.572165
17988901_synthetic_0,2017-09-15,20.864866
17988901_synthetic_0,2017-09-18,21.02516
17988901_synthetic_0,2017-09-19,20.916643
01990601_synthetic_1,2017-02-08,39.86
01990601_synthetic_1,2017-02-09,40.06836
01990601_synthetic_1,2017-02-10,40.252747
01990601_synthetic_1,2017-02-13,40.838577
01990601_synthetic_1,2017-02-14,40.087013
01990601_synthetic_1,2017-02-15,40.094635
01990601_synthetic_1,2017-02-16,41.0764
01990601_synthetic_1,2017-02-17,41.33658
01990601_synthetic_1,2017-02-20,41.57981
01990601_synthetic_1,2017-02-21,44.571213
01990601_synthetic_1,2017-02-22,43.83172
01990601_synthetic_1,2017-02-23,43.488617
01990601_synthetic_1,2017-02-24,45.40454
01990601_synthetic_1,2017-02-27,46.82906
01990601_synthetic_1,2017-02-28,45.07454
01990601_synthetic_1,2017-03-01,45.145515
01990601_synthetic_1,2017-03-02,43.3541
01990601_synthetic_1,2017-03-03,43.212814
01990601_synthetic_1,2017-03-06,42.648758
01990601_synthetic_1,2017-03-07,41.635735
01990601_synthetic_1,2017-03-08,43.058346
01990601_synthetic_1,2017-03-09,43.786476
01990601_synthetic_1,2017-03-10,44.018867
01990601_synthetic_1,2017-03-13,44.518913
01990601_synthetic_1,2017-03-14,43.652294
01990601_synthetic_1,2017-03-15,44.15935
01990601_synthetic_1,2017-03-16,44.51737
01990601_synthetic_1,2017-03-17,45.032806
01990601_synthetic_1,2017-03-20,44.87129
01990601_synthetic_1,2017-03-21,41.92796
01990601_synthetic_1,2017-03-22,41.637787
01990601_synthetic_1,2017-03-23,41.28386
01990601_synthetic_1,2017-03-24,42.092613
01990601_synthetic_1,2017-03-27,43.67284
01990601_synthetic_1,2017-03-28,45.03746
01990601_synthetic_1,2017-03-29,45.503975
01990601_synthetic_1,2017-03-30,46.025352
01990601_synthetic_1,2017-03-31,44.342136
01990601_synthetic_1,2017-04-03,45.160057
01990601_synthetic_1,2017-04-04,43.860783
01990601_synthetic_1,2017-04-05,43.043896
01990601_synthetic_1,2017-04-06,44.38638
01990601_synthetic_1,2017-04-07,45.92063
01990601_synthetic_1,2017-04-10,44.668514
01990601_synthetic_1,2017-04-11,45.81082
01990601_synthetic_1,2017-04-12,46.987877
01990601_synthetic_1,2017-04-13,46.37233
01990601_synthetic_1,2017-04-14,47.369873
01990601_synthetic_1,2017-04-17,48.004097
01990601_synthetic_1,2017-04-18,49.020615
01990601_synthetic_1,2017-04-19,50.527496
01990601_synthetic_1,2017-04-20,50.629692
01990601_synthetic_1,2017-04-21,50.95034
01990601_synthetic_1,2017-04-24,54.88285
01990601_synthetic_1,2017-04-25,53.916527
